title,words,characters,no spaces,no punctuation,no both
Chapter 400: Neo-Demon Duel,2193,12079,9887,11671,9479
Chapter 401: Same Level Fatality!,2267,12631,10365,12189,9923
Chapter 402: You Predicted That Too?,1953,10818,8866,10416,8464
Chapter 403: My Pill.,2177,12330,10154,11928,9752
Chapter 404: Shamed Into Rage,2140,11975,9836,11599,9460
Chapter 405: White Wolf!,2103,11902,9800,11495,9393
Chapter 406: The Third Wooden Sword!,2260,12670,10411,12302,10043
Chapter 407: Fifth Generation Demon Sealer!,2223,12564,10342,12167,9945
Chapter 408: Greenwood Tree Totem!,2122,12309,10188,11988,9867
Chapter 409: I Really Havent Tried This Before!,2010,11746,9737,11420,9411
Chapter 410: Naive Earth Priest,2018,11761,9744,11396,9379
Chapter 411: Rank 7 Mo Zi,2230,12652,10423,12238,10009
Chapter 412: My Master is Gu La,2062,11695,9634,11311,9250
Chapter 413: Meat....,2089,11874,9786,11500,9412
"Chapter 414: Master, Save Me!",2005,11148,9144,10759,8755
Chapter 415: Grandmaster Gu La,1992,11219,9228,10779,8788
Chapter 416: Conning Master.,2053,11624,9572,11190,9138
Chapter 417: The Resurrection Lily Suddenly Makes a Move!,2234,12577,10344,12174,9941
Chapter 418: Pool of Destiny,2192,12556,10365,12208,10017
Chapter 419: Outtie,1952,11339,9388,10936,8985
Chapter 420: Break those Fangs!,2208,12516,10309,12085,9878
Chapter 421: THAT Fishing Line!,2288,13012,10725,12611,10324
Chapter 422: Karmic Severing,1862,10661,8800,10358,8497
Chapter 423: A Fortunate Chance,1922,11021,9100,10709,8788
Chapter 424: Severing Meng Haos Karma,2060,11542,9483,11139,9080
Chapter 425: The Severing Cannot Continue!,2208,12639,10432,12172,9965
Chapter 426: Just This Once!,2112,12094,9983,11696,9585
Chapter 427: Greenwood Tree Ancestor Awakening!,2051,11714,9664,11346,9296
Chapter 428: A World that Supersedes,2101,11970,9870,11634,9534
Chapter 429: The Golden Crow and the Great Tree,1734,9653,7920,9384,7651
Chapter 430: Battling the Nascent Soul Stage,2056,11520,9465,11124,9069
Chapter 431: Prelude to a Funeral,2136,11847,9712,11426,9291
Chapter 432: Because of Meeting You.,2043,11414,9372,11036,8994
Chapter 433: Enemies Approach,2202,12629,10428,12244,10043
Chapter 434: Eyes Open!,2018,11564,9547,11204,9187
Chapter 435: Big Hairy Tattles!,2005,11562,9558,11175,9171
Chapter 436: Good Faith,2075,11990,9916,11644,9570
Chapter 437: Bridge of Immortal Treading!,2257,13196,10940,12842,10586
Chapter 438: Zhao Youlan,2053,12080,10028,11705,9653
Chapter 439: Exotic Heartdevil Flower!,2126,12565,10440,12213,10088
Chapter 440: Tragic!,1972,11726,9755,11414,9443
Chapter 441: Execution!,1841,10887,9047,10562,8722
"Chapter 442: A Figure Leaping, Sailing Over Three Thousand Cultivators!",2034,11890,9857,11573,9540
Chapter 443: Soul-stirring!,2231,12754,10524,12416,10186
Chapter 444: Funeral Dirge,1844,10560,8717,10264,8421
Chapter 445: A Drop of Violet Rain!,1917,11004,9088,10695,8779
Chapter 446: Totem Perishing!,2118,12097,9980,11726,9609
Chapter 447: New Totem!!,1973,11404,9432,11039,9067
Chapter 448: East Pill Everburning Flame!,2146,12384,10239,12056,9911
Chapter 449: Nascent Soul Slaying!,1980,11413,9434,11075,9096
Chapter 450: Downpour of Violet Rain!,2205,12794,10590,12418,10214
Chapter 451: Western Desert Apocalypse!!,2153,12320,10168,11930,9778
Chapter 452: Hope,2136,12212,10077,11849,9714
Chapter 453: Bridge of Immortality!,2113,12075,9963,11740,9628
Chapter 454: Demoness Zhixiang,1992,11398,9407,11069,9078
"Chapter 455: Step on the Stone, Enter the Void",2107,11831,9725,11494,9388
Chapter 456: Changes of the Lotus!,2177,12234,10058,11839,9663
Chapter 457: Yi Chenzi,2126,12411,10286,12039,9914
Chapter 458: A Faint Sound!,2095,11959,9865,11598,9504
Chapter 459: Eccentric Bloodface,2124,12035,9912,11688,9565
Chapter 460: Azure-robed Han Shan!,1904,10786,8883,10419,8516
Chapter 461: Encountering Zhao Youlan Again!,2096,11962,9867,11622,9527
Chapter 462: Demoness Zhixiang!,2009,11333,9325,10987,8979
Chapter 463: Little Darling,1882,10747,8866,10348,8467
Chapter 464: Pinkie Finger!,1959,11455,9497,11104,9146
Chapter 465: A Demon Spirit Appears!,2053,11864,9812,11497,9445
Chapter 466: The Agarwood Appears Again to Wrest Away the Demon Spirit!,2226,12646,10421,12313,10088
Chapter 467: Soil Vortex!,2191,12454,10264,12063,9873
Chapter 468: Thirty Thousand Worlds,2267,12934,10668,12514,10248
Chapter 469: The Depths of the Bridge Ruins,1914,10960,9047,10640,8727
Chapter 470: Violent Changes!,1910,10824,8915,10512,8603
Chapter 471: Frost Soil Demon Emperor,2076,11653,9578,11294,9219
Chapter 472: The Soul of the Bridge of Immortal Treading!,2117,11619,9503,11187,9071
Chapter 473: Frost Soil Success!,2109,11619,9511,11224,9116
"Chapter 474: Therefore, You Picked the North",2190,12250,10061,11879,9690
Chapter 475: Return,2218,12668,10451,12300,10083
Chapter 476: How Could You Be Here!?,2121,12027,9907,11635,9515
Chapter 477: Moon.,2022,11355,9334,10942,8921
Chapter 478: Soulsearch,2270,13177,10908,12783,10514
Chapter 479: Seeking to Perish,2005,11564,9560,11210,9206
Chapter 480: A Massive Defeat for the Eternal Universe Tribe!,2023,11745,9723,11401,9379
Chapter 481: An Old Enemy,2197,12756,10560,12408,10212
Chapter 482: Blood of the Ji Clan!,2141,12352,10212,11984,9844
Chapter 483: I Shall Seal Death!,2139,12413,10275,12066,9928
Chapter 484: Fuse the Blood of Ji!,2160,12377,10218,12007,9848
Chapter 485: Blood Clone is Born!,2264,13201,10938,12852,10589
Chapter 486: Leave None Alive!,2115,12289,10175,11920,9806
Chapter 487: Five Poisons Tribe Extermination,2134,12144,10011,11803,9670
Chapter 488: Entering the Central Region,2135,12055,9921,11708,9574
Chapter 489: Eight Branch Alliance,2180,12489,10310,12063,9884
Chapter 490: Underground!,2170,12557,10388,12214,10045
Chapter 491: A Familiar Vortex,2044,11636,9593,11280,9237
Chapter 492: Ill Be Back!,2227,12579,10353,12238,10012
Chapter 493: I Will Give You War!,2168,12586,10419,12236,10069
Chapter 494: I am Lonelytomb,1962,11494,9533,11105,9144
Chapter 495: An Ancient Scripture Seals a Devil!,2177,12405,10229,11997,9821
Chapter 496: Dost Thou Dare!?!?,2103,12231,10129,11858,9756
Chapter 497: Devil Weapon!,2176,12451,10276,12073,9898
Chapter 498: Absorbing the Eight Branches,2049,11952,9904,11612,9564
Chapter 499: An Old Friend,2141,12455,10315,12123,9983
Chapter 500: The Sky is Dark!,2089,11895,9807,11574,9486
"Chapter 501: Ill Escort You 500 Kilometers, Sir",2214,12508,10295,12082,9869
Chapter 502: Flying Locust Tribe,2242,12865,10624,12412,10171
Chapter 503: Choices,2212,12718,10507,12336,10125
Chapter 504: South Cleaving Pass,2211,12788,10578,12438,10228
Chapter 505: Do You Dare to Attack?!,2176,12404,10229,12057,9882
Chapter 506: South Cleaving Sentinel!,2197,12657,10461,12297,10101
Chapter 507: Black Dragon Tribe!,2361,13652,11292,13233,10873
Chapter 508: A Bet,2047,11795,9749,11501,9455
Chapter 509: Laying Eyes on the Black Lands!,2056,11914,9859,11565,9510
Chapter 510: The Last Battle!,2199,12504,10306,12086,9888
Chapter 511: The Spell Formation is Seen Again!,2248,13047,10800,12680,10433
"Chapter 512: 800,000 Neo-Demons!",2185,12868,10684,12523,10339
Chapter 513: Blood Totem!,2100,12125,10026,11762,9663
Chapter 514: Five Elements Temporarily Combine!,2276,13162,10887,12768,10493
Chapter 515: An Initial Understanding of Karma,2401,13407,11007,12945,10545
"Chapter 516: Without Severing the Spirit, How Could You Live Past 1,000?",2174,12710,10537,12309,10136
Chapter 517: Valiant Zhixiang,2212,12630,10419,12238,10027
Chapter 518: Sinking to the Heart of the Violet Sea,2174,12383,10210,12031,9858
"Chapter 519: Within the Sea, Time is Forgotten",2475,14113,11639,13753,11279
Chapter 520: Endless Cold Knows No Years,2041,11621,9581,11277,9237
Chapter 521: When the Tear Fell Into the Sea,2372,13428,11057,12994,10623
Chapter 522: Five-Colored Nascent Soul,2086,12158,10073,11827,9742
Chapter 523: Sixth Nascent Soul!,2422,13842,11421,13429,11008
Chapter 524: Five Colored Resurrection Lily!,2268,13131,10864,12741,10474
"Chapter 525: Heavenly Tribulation, I Havent Seen You For Ages!",42,254,213,246,205
Chapter 526: The Sixth Anima Rocks Heavenly Tribulation,1959,11533,9575,11197,9239
Chapter 527: Seventh Anima!!,1971,11469,9499,11141,9171
Chapter 528: I Saw the Nightmare,2150,12293,10144,11934,9785
Chapter 529: Seeking Death Repeatedly,2032,11528,9497,11136,9105
Chapter 530: Slaughter!,2239,13203,10965,12815,10577
Chapter 531: Karma Threads!,1440,8058,6619,7819,6380
Chapter 532: The Death of Huyan Qing!,1907,10739,8833,10395,8489
Chapter 533: Chase and Kill!,1941,11098,9158,10697,8757
Chapter 534: Whos the Fisherman Now?!,2006,11415,9410,11055,9050
Chapter 535: Will of a True Spirit!,2212,12538,10327,12171,9960
Chapter 536: Everything had Changed!,2127,12175,10049,11843,9717
"Chapter 537: Awaken, Mastiff!",2059,11997,9939,11642,9584
Chapter 538: Blood Mastiff Dao Protector!,2255,12674,10420,12283,10029
Chapter 539: Slaughtering the Outposts!,1998,11478,9481,11148,9151
Chapter 540: Patriarch Huyan!,2065,11919,9855,11593,9529
Chapter 541: Battle!,1968,11552,9585,11205,9238
Chapter 542: Clever Mastiff!,1996,11760,9765,11427,9432
Chapter 543: Seizing Treasures!,2062,11974,9913,11642,9581
Chapter 544: The Dao of Emotion Severing,2101,12138,10038,11725,9625
Chapter 545: The Most Powerful!,1942,11430,9489,11059,9118
Chapter 546: The Patriarch Goes All Out!,2117,12464,10348,12068,9952
Chapter 547: Sealing Spirit Severing!,2152,12396,10245,12052,9901
Chapter 548: Return to the Black Lands,2396,14106,11711,13699,11304
Chapter 549: I've Returned!,2031,12046,10016,11684,9654
Chapter 550: Breaking the Formation!,2007,11639,9633,11295,9289
Chapter 551: Dead end!,2032,11964,9933,11617,9586
Chapter 552: Why Havent You Come!?,2072,11945,9874,11532,9461
Chapter 553: Lord Fifth Lives for a Dream of Love!,2261,12647,10387,12154,9894
Chapter 554: Huyans True Self!,2035,11941,9907,11633,9599
Chapter 555: Who is HE?,2310,13542,11233,13153,10844
Chapter 556: Shaking Huyan!,1910,11068,9159,10733,8824
Chapter 557: Seizing More Spirit Severing Treasures,2196,12819,10624,12422,10227
"Chapter 558: In One Thousand Years, One Person Can Reach Immortal Ascension",2469,14194,11726,13781,11313
"Chapter 559: So We Meet Again. Ah, Karma!",2167,12418,10252,12094,9928
Chapter 560: Ancient Demon Immortal Sect!,2018,11473,9456,11160,9143
Chapter 561: The Old Friend He Least Wanted to Run Into,2197,12375,10179,11990,9794
Chapter 562: Call Me Big Sis!,2270,12704,10435,12232,9963
Chapter 563: The Extraordinary Ancient Demon Immortal Sect!,2440,13995,11556,13523,11084
Chapter 564: Where Good Fortune Lays,2271,12586,10316,12180,9910
Chapter 565: Meeting an Old Friend,2339,13208,10870,12842,10504
Chapter 566: That is Xu Qing!,2310,12960,10651,12558,10249
Chapter 567: Ke Jiusi,2174,12031,9858,11635,9462
Chapter 568: Think Three Times Before You Act.,2261,12867,10607,12416,10156
Chapter 569: Ke Yunhai,2200,12313,10114,11870,9671
Chapter 570: Killing a Son of Ji,2028,11450,9423,11075,9048
Chapter 571: Still Wont Cry Out?!,2203,12372,10170,11949,9747
Chapter 572: The Legacy of Lord Li,2352,13083,10732,12629,10278
Chapter 573: Her Name is Xu Qing,2288,12993,10706,12601,10314
Chapter 574: Our Agreement,1428,7879,6452,7561,6134
Chapter 575: Long Time No See,2161,11666,9506,11255,9095
Chapter 576: Limitless Possibilities!,2060,11943,9884,11541,9482
Chapter 577: Silkpants Demon Entente,2380,13629,11250,13253,10874
Chapter 578: Dad.,2352,13027,10676,12575,10224
"Chapter 579: To Get the Mountain and Sea Scripture, You Must Have a Demon Immortal Body!",2426,13670,11245,13235,10810
Chapter 580: The Path of Good Fortune,2082,12017,9936,11694,9613
Chapter 581: Seed of Daoist Magic,2063,11745,9683,11407,9345
Chapter 582 and 583: Twelve Words,4253,24293,20041,23482,19230
Chapter 584: Withering Flame Demon Magic True Self Dao,2222,12956,10735,12499,10278
Chapter 585: The Voice of Lord Li,2056,11838,9783,11406,9351
Chapter 586: Ill Take You the Rest of the Way,2307,12961,10655,12500,10194
Chapter 587: Why Are You Doing This?,2113,11933,9821,11476,9364
Chapter 588: This Life Will Do,2144,12292,10149,11910,9767
Chapter 589: An Ancient Tale,2494,14009,11516,13527,11034
Chapter 590: He Definitely.,2271,12727,10457,12268,9998
Chapter 591: Demon Immortal Cistern,2116,11993,9878,11587,9472
Chapter 592: Slaying Immortals Wouldnt Be Difficult,2073,11723,9651,11391,9319
Chapter 593: Meeting South Heaven!,2183,12225,10043,11891,9709
Chapter 594: Pain in the Whole Body,2469,13565,11097,13101,10633
Chapter 595: The Love of a Father is Like a Mountain!,2162,12177,10016,11812,9651
Chapter 596: The Oil was Exhausted and the Lamp was Dry,2212,12342,10131,11888,9677
"Chapter 597: Ill Make You Proud, Sir",2193,11935,9743,11459,9267
Chapter 598: The Third Plane,2118,11644,9527,11300,9183
Chapter 599: Sword Tip!,2331,13188,10858,12766,10436
Chapter 600: True SpiritNight!,2036,11560,9525,11131,9096
Chapter 601: Generous Zhixiang!,2198,12504,10307,12091,9894
Chapter 602: Good Fortune!,2052,12150,10099,11799,9748
Chapter 603: Eighth Nascent Soul!,1960,11586,9627,11244,9285
Chapter 604: Like Splitting Bamboo,2188,12566,10379,12175,9988
Chapter 605: Momentum Like a Beam of Light,2233,12947,10715,12520,10288
Chapter 606: Eighth Anima!,1988,11504,9517,11165,9178
"Chapter 607: Youre All Here, Huh?",2428,13731,11304,13277,10850
Chapter 608: You Hurt Me,2219,12315,10097,11897,9679
Chapter 609: Three-eyed Concubine,2002,11160,9159,10786,8785
Chapter 610: Injured Lord Fifth,2404,13332,10929,12873,10470
"Chapter 611: Fellow Daoists, Allow Me to Say Something",2166,11988,9823,11531,9366
Chapter 612: The Gentleman Loves Money,2351,13218,10868,12749,10399
Chapter 613: Fourth Plane!,2220,12649,10430,12269,10050
Chapter 614: Seal,2238,12699,10462,12343,10106
Chapter 615: Speculation and Cooperation,2356,13390,11035,12951,10596
Chapter 616: Demonic Qi Explodes to the Sky!,2323,13223,10901,12853,10531
Chapter 617: Land of the Three Saints,1942,11152,9211,10793,8852
Chapter 618: Mountain and Sea Mirror!,2072,11546,9475,11145,9074
Chapter 619: Night Awakens!,1988,11323,9336,10942,8955
Chapter 620: Nights Head!,1951,11131,9181,10797,8847
Chapter 621: Hes My Little Brother,2167,12165,9999,11725,9559
"Chapter 622: Three Mountains, Nine Bows",2208,12398,10191,11984,9777
"Chapter 623: Sky, ten. Meng Hao, seven!",2263,12790,10528,12414,10152
Chapter 624: Lofty Aspirations!,2239,12565,10327,12162,9924
Chapter 625: I Am Still Searching!,2268,12890,10623,12428,10161
"Chapter 626: Ninth Nascent Soul, Demon Nascent Soul!",2317,13017,10701,12616,10300
Chapter 627: A True Man!,1993,11361,9369,10964,8972
Chapter 628: The Path of Spirit Severing!,2097,11986,9890,11586,9490
Chapter 629: Return,2351,13152,10802,12685,10335
Chapter 630: 10th Patriarch of the Wang Clan,2237,12601,10365,12198,9962
Chapter 631: False Immortals and True Immortals,2374,13655,11282,13176,10803
Chapter 632: The Milky Way Sea,2347,13216,10870,12758,10412
Chapter 633: Honored Guest,2318,13299,10982,12865,10548
Chapter 634: Whos Feeling Jumpy?,2098,12052,9955,11623,9526
Chapter 635: Destined To Meet Again,2269,12867,10599,12368,10100
"Chapter 636: As Long As You Leave, Anything Is OK!",2339,13589,11251,13131,10793
Chapter 637: The Zhang Clan is Here?!,2154,12271,10118,11857,9704
Chapter 638: Twists and Turns Enrage the Patriarch,2313,13090,10778,12619,10307
Chapter 639: The Superiority of the Patriarchs Intellect,2342,13380,11039,12943,10602
Chapter 640: Ill Leave After I Finish Shopping,2326,13119,10794,12665,10340
Chapter 641: Who Would Outdo.,2223,12542,10320,11998,9776
Chapter 642: The Patriarch Flies Into a Rage,2189,12407,10219,11956,9768
Chapter 643: Plundering,2143,12164,10022,11757,9615
"Chapter 644: Patriarch, Save Me!",2247,12808,10562,12397,10151
Chapter 645: Shameless Old Turtle!,2350,13410,11061,12969,10620
Chapter 646: Ill Give You Some Good Fortune!,2108,12004,9897,11553,9446
Chapter 647: Patriarch Meng Hao,2282,13019,10738,12607,10326
Chapter 648: Third Ring Stormwind Divide,2079,11820,9742,11499,9421
Chapter 649: Spirits Hide in the Divide,2084,12096,10013,11748,9665
Chapter 650: How Happy You Are.,2141,12395,10255,11998,9858
Chapter 651: My Dao Is Nigh!,2296,13093,10798,12694,10399
Chapter 652: Underworld Ship,1996,11129,9134,10750,8755
Chapter 653: Demons Stir in the Third Ring,2129,11533,9405,11187,9059
Chapter 654: Lily....,2159,12142,9984,11763,9605
Chapter 655: Hunting Sea Demons,2076,11996,9921,11656,9581
Chapter 656: The Resurrection Lily Makes a Move!,2042,11670,9629,11334,9293
Chapter 657: Saint Sun Soul of the Three Sects,2090,12032,9943,11632,9543
Chapter 658: Hometown Alcohol,2161,12007,9847,11585,9425
Chapter 659: I Struck It Super Rich!,2188,12250,10063,11791,9604
Chapter 660: The Alcohol is Quite Strong,2413,13787,11375,13247,10835
Chapter 661: Seeing Xiaoxiao Again,2228,13007,10780,12569,10342
Chapter 662: Xu Pingping,2215,12840,10626,12407,10193
Chapter 663: Rich and Headstrong!,2179,12292,10114,11868,9690
Chapter 664: War Chariot!,2047,11495,9449,11130,9084
Chapter 665: The Dawn Immortal Once Again,1985,11009,9025,10682,8698
Chapter 666: The Mother of the Resurrection Lily!,2327,12977,10651,12525,10199
Chapter 667: Gamble Royale,2347,13135,10789,12645,10299
Chapter 668: It Feels Great,2160,12065,9906,11603,9444
Chapter 669: You Cheated!,2026,11780,9755,11304,9279
Chapter 670: Crisis Approaches,2224,12520,10297,12143,9920
Chapter 671: Cooperation,2286,12627,10342,12130,9845
Chapter 672: Duplicating the Sword Tip!,2268,12889,10622,12445,10178
Chapter 673: The Call of the Dawn Immortal,2176,12465,10290,12038,9863
Chapter 674: The Wang Patriarch Cometh,2235,12537,10303,12128,9894
Chapter 675: Reverend Silverlamp!,2198,12493,10296,12067,9870
Chapter 676: Spirit Severing - First Severing!,1998,11357,9360,10966,8969
Chapter 677: The Great Dao Resonates!,2274,12883,10610,12451,10178
Chapter 678: Intrepid Meng Hao!,2102,12129,10028,11737,9636
Chapter 679: Battle!,2157,12379,10223,11980,9824
Chapter 680: The True Self Arrives!,2155,11936,9782,11541,9387
Chapter 681: Foundation Seizing Grand Magic,2247,12782,10536,12349,10103
Chapter 682: I Will Become Immortal!,2015,11538,9524,11120,9106
Chapter 683: Henceforth,2411,13338,10928,12899,10489
Chapter 684: On Board,2200,12370,10171,11906,9707
Chapter 685: Traversing the Path,2313,13023,10711,12576,10264
Chapter 686: Homeland,2168,12005,9838,11637,9470
"Chapter 687: You Live, I Live",2206,11985,9780,11540,9335
Chapter 688: Together,2189,12171,9983,11814,9626
Chapter 689: Is There Really Such a Thing as Rebirth?,2173,11711,9539,11234,9062
Chapter 690: The Chapter that Never Was!,684,4121,3438,3977,3294
Chapter 691: Extend the Broken Bridge of Life Force,2208,12078,9871,11623,9416
Chapter 692: A Promise to Keep,2275,12545,10271,12060,9786
Chapter 693: Eternal Stratum!,2249,13070,10822,12604,10356
Chapter 694: He Came!,2269,12794,10526,12352,10084
Chapter 695: Attack the Black Sieve Sect!,2165,12734,10570,12359,10195
Chapter 696: Breaking the Formation,2046,11914,9869,11531,9486
Chapter 697: Hundred Thousand Mountains!,2302,13720,11419,13281,10980
Chapter 698: Deranged,1966,11488,9523,11087,9122
Chapter 699: Sieve Yin Sect,2096,12051,9956,11667,9572
Chapter 700: True Patriarch Six-Daos,2077,11826,9750,11438,9362
Chapter 701: Blood Prince of the Blood Demon Sect,1983,11510,9528,11026,9044
Chapter 702: Violet Easts Dao Seeking!,2433,13754,11322,13233,10801
Chapter 703: Heart of the Blood Demon,2250,12753,10504,12337,10088
Chapter 704: Blood Demon Grand Magic,2248,12902,10655,12451,10204
Chapter 705: A Test!,2324,13112,10789,12613,10290
Chapter 706: Kill!,2073,12004,9932,11552,9480
Chapter 707: Subduing!,2120,12528,10409,12095,9976
"Chapter 708: Sever the Devilish, Seek the Dao!",2065,12024,9960,11575,9511
Chapter 709: Blood Demon Grand Magic!,2218,12806,10589,12364,10147
Chapter 710: Xu Qing Awakens,2036,11793,9758,11406,9371
Chapter 711: Ancient Dao Lakes,2247,13126,10880,12726,10480
Chapter 712: Gathering at the Dao Lakes!,2523,14616,12094,14165,11643
Chapter 713: Dao Lake Eruption,2165,12598,10434,12209,10045
Chapter 714: Teleportation Cycle,2256,13171,10916,12735,10480
Chapter 715: Crushing Spirit Severing!,2299,13036,10738,12665,10367
Chapter 716: Overbearing!,2047,11675,9629,11275,9229
Chapter 717: Old Friends Meet by the Dao Lake,2263,12542,10280,12116,9854
Chapter 718: Give Me This Lake!,2110,12222,10113,11839,9730
Chapter 719: Main Lake Eruption!,2294,13250,10957,12827,10534
Chapter 720: Everything Explodes!,2229,12927,10699,12489,10261
Chapter 721: You Must Know Liu Zichuan,2179,12612,10434,12182,10004
Chapter 722: A Second Eruption!,2472,13995,11524,13490,11019
Chapter 723: True Immortal Soul,2234,12966,10733,12497,10264
Chapter 724: Pull Out All the Stops!,2300,13140,10841,12697,10398
Chapter 725: Grab That Soul!,2079,11789,9711,11444,9366
Chapter 726: Trial by Fire!,2240,12670,10431,12187,9948
Chapter 727: Completely Golden!,2040,12156,10117,11763,9724
Chapter 728: Second Level!,2205,12521,10317,12038,9834
Chapter 729: Spirit Meridians Stratum!,2293,13374,11082,12848,10556
Chapter 730: Another Lord Fifth!,2215,12559,10345,11999,9785
Chapter 731: Essence of The Divine Flame!,2083,11863,9781,11410,9328
Chapter 732: The Blood Prince Returns!,1519,8717,7199,8396,6878
Chapter 733: On the Eve of War in the Southern Domain,2259,12735,10477,12359,10101
Chapter 734: Second True Self!,2302,13195,10894,12814,10513
Chapter 735: War!,2185,13022,10838,12600,10416
Chapter 736: Devastating!,2194,13303,11110,12918,10725
Chapter 737: A Leaf!,2178,12578,10401,12203,10026
Chapter 738: A Silhouette Like a Mountain,2234,12953,10720,12585,10352
Chapter 739: Patriarch Fifth Peak!,2116,12324,10209,11959,9844
Chapter 740: Fourth Level of the Blood Demon Grand Magic!,2344,13828,11485,13422,11079
Chapter 741: Clone of the Dawn Immortal!,2023,11909,9887,11531,9509
"Chapter 742: Time To Come Home, Darling",2155,12580,10426,12196,10042
Chapter 743: Call Out To It! Does It Answer?,2271,13281,11011,12800,10530
"Chapter 744: Arise, Second True Self!",2219,12985,10767,12589,10371
Chapter 745: Peak!,2006,11596,9591,11189,9184
Chapter 746: False Immortals Soul,2078,12205,10128,11791,9714
Chapter 747: Decisive Battle!,2216,12966,10751,12597,10382
Chapter 748: Blood Demons True Self!,2087,12030,9944,11590,9504
Chapter 749: Emperor Black Sieve!,2236,12787,10552,12410,10175
Chapter 750: Severing Karma,2061,11986,9926,11626,9566
Chapter 751: Returning to the Blessed Land,2248,12898,10651,12485,10238
Chapter 752: Dao Seeking Fleshly Body!,1991,11351,9361,10985,8995
Chapter 753: Destination - Solitary Sword Sect!,2430,13833,11404,13413,10984
Chapter 754: The Tale of Chen Fan,2270,12821,10552,12373,10104
Chapter 755: I Pray That You Find Happiness,2125,11804,9680,11357,9233
Chapter 756: Crazy Fatty!,2240,12825,10586,12292,10053
Chapter 757: Calamity for the Li Clan!,2144,12233,10090,11809,9666
Chapter 758,2182,12235,10054,11866,9685
Chapter 759: The Northern Reaches Mobilizes,2679,15068,12390,14567,11889
Chapter 760: Your Mother Was Here,2438,13585,11148,13151,10714
Chapter 761: An Old Friend.,2161,11943,9783,11485,9325
Chapter 762: 10th Patriarch,2173,12004,9832,11505,9333
Chapter 763: The Deepest Love,1973,11004,9032,10569,8597
Chapter 764: The Wedding Stirs the Southern Domain,2211,12478,10268,12114,9904
Chapter 765: Seventh Year Tribulation!,2123,12221,10099,11816,9694
Chapter 766: Grand Wedding!,2219,13168,10950,12792,10574
Chapter 767: The Northern Reaches Invades!,2064,12211,10148,11797,9734
Chapter 768: Hellwither Nineruins,2198,12648,10451,12280,10083
Chapter 769: The Power of the Curse!,2245,12905,10661,12510,10266
Chapter 770: That Laughter.,2340,13634,11295,13173,10834
Chapter 771: Let Me Rest a Bit,2065,11555,9491,11169,9105
Chapter 772: No Regret Regarding the Grand Wedding!,2309,13142,10834,12712,10404
Chapter 773: Xu Qing Enters Reincarnation,2083,11794,9712,11397,9315
Chapter 774: Dao Seeking Felled!,2223,12599,10377,12190,9968
Chapter 775: FIGHT!,1992,11509,9518,11150,9159
Chapter 776: Fifth Level of the Blood Demon Grand Magic!,2082,11894,9813,11519,9438
"Chapter 777: Dawn Immortal, Do You Dare To Fight Me?!",2002,11414,9413,11044,9043
Chapter 778: Decisive Battle with the Dawn Immortal!,2202,13206,11005,12835,10634
Chapter 779: The Northern Reaches Routed!,2192,12962,10771,12567,10376
Chapter 780: Slaughtering an Underworld Judge,2169,12524,10356,12045,9877
Chapter 781: Meng Hao Awakens!,2065,11835,9771,11413,9349
Chapter 782: Three Swords Sweep Across the Eastern Lands!,2342,13072,10731,12610,10269
Chapter 783: Overwhelming,1947,11354,9408,10997,9051
Chapter 784: The Final Battle!,2066,12335,10270,11996,9931
Chapter 785: The Battle Begins!,1999,12083,10085,11751,9753
Chapter 786: Slaying Wraiths!,2221,12845,10625,12456,10236
Chapter 787: The Rise of a Blazing Sun!,2097,12374,10278,12048,9952
Chapter 788: Suppression!,2016,11664,9649,11329,9314
Chapter 789: A Huge Crisis!,2051,11858,9808,11504,9454
Chapter 790: He Once Said.,2412,14464,12053,14029,11618
Chapter 791: Great Dao Resonance!,2166,12516,10351,12148,9983
Chapter 792: The Dao Becomes a Mist; the Mist Becomes a Blade!,2158,12681,10524,12182,10025
"Chapter 793: Sever the Devil, Seek the Dao!",2105,11971,9867,11572,9468
Chapter 794: Invincible Meng Hao!,2281,13218,10938,12793,10513
Chapter 795: Half a Step Into Immortality!,2181,12533,10353,12114,9934
Chapter 796: Putting the North in its Place,2222,12921,10700,12456,10235
Chapter 797: Reuniting.,2324,13064,10741,12545,10222
Chapter 798: Father Makes a Laughingstock of South Heaven,2399,13535,11137,13059,10661
Chapter 799: Born On East Victory!,2322,13193,10872,12761,10440
Chapter 800: Seventh Year Tribulation!,2507,14148,11642,13696,11190
Chapter 801: We Will Meet Again!,2339,13170,10832,12678,10340
Chapter 802: Immortal Ancient Dao Medallion!,2880,16498,13619,15959,13080
Chapter 803: Going to the Ji Clan to Collect Debts,2349,13151,10803,12643,10295
Chapter 804: Debts Must Be Repaid!,2167,12382,10216,11958,9792
Chapter 805: Well Pay You Back!,2403,13587,11185,13053,10651
Chapter 806: The Wind Stirs in the Ninth Mountain and Sea!,2462,13984,11523,13548,11087
Chapter 807: Ancient Immortal Daoist Rite Temple!,2688,15240,12553,14839,12152
Chapter 808: Projections Passing Down Daos!,2198,12469,10272,12080,9883
Chapter 809: Immortal Ancient Dao Meridian!,2439,13866,11428,13403,10965
Chapter 810: Two Restrictions!,2435,13969,11535,13434,11000
Chapter 811: Ive Been Waiting!,2426,13697,11272,13272,10847
Chapter 812: Im the Groundskeeper,2215,12542,10328,12108,9894
Chapter 813: Inky and Lily,2006,11136,9131,10805,8800
